STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
WR3,134.388309999999990,-19.949999999999999,BC,,760,nan,251,nan,nan,nan
WRAB,134.360000000000014,-19.933599999999998,BC,,760,nan,343,nan,nan,nan
BZ25,136.540799999999990,-19.954699999999999,B,,1100,nan,389,nan,nan,nan
WR0,134.540404999999993,-19.959700000000002,B,,1100,nan,298,nan,nan,nan
WR10,134.541950000000014,-19.961089999999999,B,,1100,nan,467,nan,nan,nan
WR8,134.501910000000009,-19.957260000000002,B,,1100,nan,237,nan,nan,nan
WR9,134.516310000000004,-19.959119999999999,B,,1100,nan,289,nan,nan,nan
WR7,134.477419999999995,-19.956669999999999,D,,270,nan,247,nan,nan,nan
WR6,134.455780000000004,-19.955249999999999,CD,,360,nan,254,nan,nan,nan
CD28,138.491000000000014,-21.508600000000001,B,,1100,nan,254,nan,nan,nan
CE28,139.003299999999996,-21.489000000000001,CD,,360,nan,235,nan,nan,nan
CD27,138.510300000000001,-20.984900000000000,CD,,360,nan,233,nan,nan,nan
CE26,138.996900000000011,-20.506599999999999,B,,1100,nan,239,nan,nan,nan
CD26,138.495100000000008,-20.499900000000000,C,,560,nan,238,nan,nan,nan
CD25,138.497000000000014,-19.999400000000001,B,,1100,nan,293,nan,nan,nan
CE25,139.001399999999990,-19.999199999999998,BC,,760,nan,240,nan,nan,nan
